time,C_atm,C_active,C_deep,T_s,forcing
0.000000000000000000e+00,5.940000000000000000e+02,1.740000000000000000e+02,8.000000000000000000e+02,-2.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000056e-01,5.954164551612600462e+02,1.734972836631366988e+02,7.997865939712223735e+02,-2.045190661385706488e+00,7.035000000000000142e+00
2.000000000000000111e-01,5.968281479003267123e+02,1.729961006676865054e+02,7.995770887841788408e+02,-2.099159654721407975e+00,7.070000000000000284e+00
3.000000000000000444e-01,5.982344815251778982e+02,1.724963719752231839e+02,7.993721702739952661e+02,-2.163652003512813948e+00,7.105000000000000426e+00
4.000000000000000222e-01,5.996347491683314956e+02,1.719980198474732163e+02,7.991726344514717084e+02,-2.240755347054849356e+00,7.139999999999999680e+00
5.000000000000000000e-01,6.010281162129286940e+02,1.715009757399472221e+02,7.989793974219710435e+02,-2.332963777713472187e+00,7.174999999999999822e+00
6.000000000000000888e-01,6.024136013227207513e+02,1.710051933132934039e+02,7.987935016174574230e+02,-2.443249858878777658e+00,7.209999999999999964e+00
7.000000000000000666e-01,6.037900563969934637e+02,1.705106690651799966e+02,7.986161155234701710e+02,-2.575144335211586810e+00,7.245000000000000107e+00
8.000000000000000444e-01,6.051561466864518479e+02,1.700174739077036179e+02,7.984485223392706530e+02,-2.732819267932187657e+00,7.280000000000000249e+00
9.000000000000000222e-01,6.065103328680490904e+02,1.695257997825972325e+02,7.982920916796385882e+02,-2.921166770397616741e+00,7.315000000000000391e+00
1.000000000000000000e+00,6.078508581165956457e+02,1.690360257105321011e+02,7.981482268772404041e+02,-3.145857887519580842e+00,7.349999999999999645e+00
1.100000000000000089e+00,6.091757445570309528e+02,1.685488060842885147e+02,7.980182806777060023e+02,-3.413355955287729504e+00,7.384999999999999787e+00
1.200000000000000178e+00,6.104828056122076987e+02,1.680651801972681483e+02,7.979034337963677217e+02,-3.730841995541970491e+00,7.419999999999999929e+00
1.300000000000000044e+00,6.117696822258890279e+02,1.675866917928184705e+02,7.978045395317610655e+02,-4.105994095161158874e+00,7.455000000000000071e+00
1.400000000000000133e+00,6.130339125325338046e+02,1.671154926557580893e+02,7.977219507861832426e+02,-4.546546596698686216e+00,7.490000000000000213e+00
1.500000000000000000e+00,6.142730429377692190e+02,1.666543845113129976e+02,7.976553671879369176e+02,-5.059565489940401228e+00,7.525000000000000355e+00
1.600000000000000089e+00,6.154847831814051915e+02,1.662067427209321693e+02,7.976037561682023806e+02,-5.650430336341233151e+00,7.559999999999999609e+00
1.700000000000000178e+00,6.166671957660728367e+02,1.657762776679652745e+02,7.975654016343214607e+02,-6.321641352466577324e+00,7.594999999999999751e+00
1.800000000000000044e+00,6.178188931043521279e+02,1.653666425429845219e+02,7.975380981330355326e+02,-7.071744301419558454e+00,7.629999999999999893e+00
1.900000000000000133e+00,6.189392002065967517e+02,1.649809711398981165e+02,7.975194490942975563e+02,-7.894790463579520079e+00,7.665000000000000036e+00
2.000000000000000000e+00,6.200282382464362172e+02,1.646214834295121818e+02,7.975071761671789545e+02,-8.780669235629025238e+00,7.700000000000000178e+00
2.100000000000000089e+00,6.210869026382994207e+02,1.642892797982180753e+02,7.974993453151436142e+02,-9.716323666386340818e+00,7.735000000000000320e+00
