year,time_since_2000,C_atm_PgC,C_active_PgC,C_deep_PgC,T_surface_C,CO2_ppm
2008.4,8.4,801.125354432113,85.38665512374976,742.2354005831984,15.612800450349086,377.88931812835517
2008.5,8.5,803.4829872622084,84.2385192549952,741.493833971726,15.664720844716031,379.00140908594733
2008.6,8.6,805.8189105309124,83.1059168872459,740.7530007671346,15.715192885491806,380.1032596843926
2008.7,8.700000000000001,808.133061184814,81.98895548284435,740.0129006458714,15.764260660279033,381.194840181516
2008.8,8.8,810.4253958071806,80.8877232016761,739.2735332132471,15.811966669778831,382.2761300977267
2008.9,8.9,812.6958904472458,79.8022886222609,738.5348980935001,15.858352232507578,383.3471181354933
2009.0,9.0,814.9445392510953,78.73270223542009,737.7969948947549,15.903457386145021,384.4078015335355
2009.1,9.1,817.1713534615301,77.67899739218439,737.0598232125002,15.947320943864865,385.45818559506137
2009.2,9.200000000000001,819.3763611468272,76.64119068334894,736.3233826116095,15.989980414341156,386.49828355982413
2009.3,9.3,821.5596068343294,75.61928239293249,735.587672611224,16.031471939820584,387.52811643128746
2009.4,9.4,823.7211488484403,74.6132587342161,734.8526927386204,16.07183066994755,388.5477117209624
2009.5,9.5,825.8610590827715,73.62309219560925,734.1184425099297,16.111090673535266,389.5571033409299
2009.6,9.600000000000001,827.9794220708658,72.64874243118581,733.3849214319335,16.14928498348181,390.5563311655027
2009.7,9.700000000000001,830.0763352149761,71.69015611303433,732.652128993661,16.18644554839674,391.54544113913965
2009.8,9.8,832.151909422338,70.74726641900047,731.9200646542702,16.222603150756097,392.52448557657453
2009.9,9.9,834.2062647976151,69.81999694393825,731.1887278759978,16.257787731143686,393.49352113095046
2010.0,10.0,836.2395311337294,68.90826131758772,730.4581181133675,16.29202831835272,394.45260902534403
2010.1,10.100000000000001,838.2518471227346,68.01196396770008,729.7282348140651,16.32535306462328,395.40181468053515
2010.2,10.200000000000001,840.2433611375965,67.13099942467217,728.9990774132146,16.35778919435023,396.3412080837719
2010.3,10.3,842.2142330286941,66.26525068537131,728.2706453232028,16.389362895859566,397.27086463617644
2010.4,10.4,844.1646272281839,65.41459563598922,727.5429379616364,16.420099700864,398.19086190008676
2010.5,10.5,846.0947143782843,64.57890557182975,726.8159547419053,16.450024385677132,399.1012803671152
2010.6,10.600000000000001,848.0046707308405,63.758045783484185,726.0896950735216,16.47916099747176,400.0022031749248
2010.7,10.700000000000001,849.8946773740104,62.95187630329435,725.3641583632186,16.507532890237766,400.8937157424577
2010.8,10.8,851.7649198753624,62.16025226132979,724.6393440147932,16.535162740655785,401.775905601586
2010.9,10.9,853.6155965963145,61.38301610996091,723.9152514028071,16.562072145741112,402.64886631901624
2011.0,11.0,855.4469085993186,60.620007109528906,723.1918799017812,16.58828210829299,403.5126927355276
2011.1,11.100000000000001,857.2590579120196,59.87106297740248,722.4692288901963,16.613813119276404,404.36748014717904
2011.2,11.200000000000001,859.0522494838385,59.13601807452297,721.7472977433608,16.638685062113378,405.2133252282257
2011.3,11.3,860.8266905757189,58.41470399896043,721.0260858340181,16.66291724077628,406.0503257432636
2011.4,11.4,862.5825901498708,57.70695017946986,720.3055925329526,16.6865284078811,406.878580259373
2011.5,11.5,864.3201618002114,57.012581101337986,719.5858172038427,16.709536657049703,407.6981895284016
2011.6,11.600000000000001,866.0396268167824,56.33141340479888,718.8667591978942,16.731959310136222,408.5092579324445
2011.7,11.700000000000001,867.7412031366151,55.663266407462935,718.1484178714144,16.753813345490137,409.31188827198827
2011.8,11.8,869.4251093979369,55.00795826130061,717.4307925788369,16.77511524723951,410.1061836782721
2011.9,11.9,871.0915646575409,54.365306234581254,716.7138826727963,16.795881020824922,410.89224747997207
2012.0,12.0,872.7407879219892,53.7351271708814,715.9976875045054,16.816126215669993,411.67018298207034
2012.1,12.100000000000001,874.3729981737753,53.11723747397943,715.2822064235723,16.83586593022313,412.4400934781959
2012.2,12.200000000000001,875.9884210471643,52.51144672310591,714.5674387703104,16.855114580159565,413.2020853996058
2012.3,12.3,877.587280187997,51.917565959234025,713.8533838853422,16.873886212090273,413.9562642396212
2012.4,12.4,879.169797024891,51.335407914197184,713.1400411097046,16.892194517684565,414.70273444570324
2012.5,12.5,880.7361921112497,50.76478573515092,712.4274097831819,16.910052791845697,415.44160005247625
2012.6,12.600000000000001,882.2866847826967,50.20551332266597,711.7154892445395,16.927473950885446,416.17296452013994
2012.7,12.700000000000001,883.8214928145113,49.65740566882143,711.0042788317587,16.944470550698686,416.8969305728827
2012.8,12.8,885.340835201286,49.12027618882744,710.2937778798155,16.961054695216617,417.61360151004055
2012.9,12.9,886.844933561512,48.593935376741676,709.5839857195409,16.9772379931829,418.3230818686377
2013.0,13.0,888.3340045891921,48.078198082238366,708.8749016835224,16.993031829555644,419.02547386282646
2013.1,13.100000000000001,889.8082632082918,47.57288048133277,708.1665251035872,17.00844726078966,419.72087887183574
2013.2,13.200000000000001,891.2679224038533,47.07780024723436,707.4588553109014,17.02349502690756,420.4093973603081
2013.3,13.3,892.7131929856221,46.59277678618532,706.7518916361198,17.038185565942594,421.09112876680285
2013.4,13.4,894.1442838008505,46.11763103816535,706.0456334092527,17.052529012893643,421.76617160417476
2013.5,13.5,895.5614060209924,45.65218133106855,705.3400799569544,17.06653505821135,422.43462548160016
2013.6,13.600000000000001,896.9647672160932,45.19624912791342,704.6352306062747,17.080213158407393,423.09658830947785
2013.7,13.700000000000001,898.3545718335312,44.74965856992378,703.931084684357,17.09357252583991,423.75215652525054
2013.8,13.8,899.7310219335803,44.31223577081782,703.2276415179736,17.10662210964367,424.4014254403681
2013.9,13.9,901.0943170332354,43.883808974954675,702.5249004336265,17.119370607407568,425.04448916662045
2014.0,14.0,902.4446539500384,43.46420871548103,701.8228607576472,17.131826476852105,425.6814405424709
2014.1,14.100000000000001,903.7822287466571,43.05326592785079,701.1215218151963,17.14399786982885,426.31237205030993
2014.2,14.200000000000001,905.1072369138967,42.65081177784762,700.4208829301868,17.155892631456098,426.93737590278147
2014.3,14.3,906.4198695226371,42.25668141298456,699.7209434273167,17.16751844830868,427.556542227659
2014.4,14.4,907.7203150221981,41.87071221833054,699.021702631146,17.178882787823884,428.1699599161311
2014.5,14.5,909.0087591576942,41.492743903092475,698.3231598661581,17.18999290726008,428.777716583818
2014.6,14.600000000000001,910.2853848753272,41.12261859893747,697.6253144568277,17.20085586310143,429.3798985260977
2014.7,14.700000000000001,911.550372568601,40.760180624612275,696.9281657275305,17.21147850666318,429.9765908342457
2014.8,14.8,912.8039024538688,40.40527416632291,696.231713001461,17.221867393508884,430.5678785159758
2014.9,14.9,914.0461510804583,40.05774669932492,695.5359556022809,17.232028930279835,431.1538448492728
2015.0,15.0,915.277291913526,39.71744842303378,694.8408928538709,17.241969356674424,431.73457165732356
2015.1,15.100000000000001,916.4974956909406,39.384231917317976,694.1465240801892,17.25169473657391,432.31013947685875
2015.2,15.200000000000001,917.7069303734171,39.05795219693007,693.4528486053183,17.261210965632092,432.88062753463066
2015.3,15.3,918.90576109465,38.73846676593766,692.7598657535117,17.270523778865,433.4461137238915
2015.4,15.4,920.0941513443503,38.42563445636966,692.0675748486976,17.279638701847922,434.00667516242936
2015.5,15.5,921.272262703233,38.11931569480675,691.3759752146207,17.288561068145828,434.5623880675627
2015.6,15.600000000000001,922.4402532161826,37.81937411188193,690.6850661755846,17.297296099033023,435.1133269887653
2015.7,15.700000000000001,923.5982782674432,37.52567568450067,689.9948470560911,17.30584886877105,435.6595652204921
2015.8,15.8,924.7464905622929,37.238088759167965,689.3053171808732,17.31422431075567,436.2011747935344
2015.9,15.9,925.8850401084958,36.956484075536224,688.6164758749281,17.322427223674055,436.73822646627156
2016.0,16.0,927.0140744393558,36.680734549412136,687.9283224634441,17.330462264498582,437.2707898298848
2016.1,16.1,928.1337398302659,36.410714066637674,687.2408562712884,17.33833388735146,437.79893388220086
2016.2,16.2,929.2441793090784,36.146299469052344,686.5540766239101,17.346046457053557,438.3227260891879
2016.3,16.3,930.3455331694142,35.88737004852124,685.8679828471394,17.353604226304036,438.8422326270822
2016.4,16.400000000000002,931.437939148432,35.63380737502921,685.1825742671338,17.361011331141516,439.35751846624146
2016.5,16.5,932.5215324257407,35.38549530284265,684.4978502104034,17.36827179614983,439.8686473706324
2016.6,16.6,933.5964456223155,35.142319976671374,683.8138100038367,17.375389539663804,440.3756818973186
2016.7,16.7,934.6628088647319,34.90416977220815,683.1304529746959,17.382368374760247,440.8786834267603
2016.8,16.8,935.7207511687346,34.67093391125977,682.447778450008,17.389211925121156,441.3777128154408
2016.9,16.900000000000002,936.7703989146629,34.442503998413926,681.7657857572881,17.395923728540147,441.87282967672775
