time,C_atm,C_active,C_deep,T_s,forcing
0.000000000000000000e+00,5.940000000000000000e+02,1.740000000000000000e+02,8.000000000000000000e+02,-2.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000056e-01,5.954162053276239703e+02,1.734972836631080781e+02,7.997865939714525894e+02,-2.045190673282197391e+00,7.030000000000000249e+00
2.000000000000000111e-01,5.968271492289940170e+02,1.729961006672304507e+02,7.995770887879530164e+02,-2.099159754282573509e+00,7.059999999999999609e+00
3.000000000000000444e-01,5.982322360011306728e+02,1.724963719729438480e+02,7.993721702935820304e+02,-2.163652355474363187e+00,7.089999999999999858e+00
4.000000000000000222e-01,5.996307597573943440e+02,1.719980198404641385e+02,7.991726345148554174e+02,-2.240756222095806383e+00,7.120000000000000107e+00
5.000000000000000000e-01,6.010218868526960705e+02,1.715009757236306029e+02,7.989793975801321722e+02,-2.332965572623007411e+00,7.150000000000000355e+00
6.000000000000000888e-01,6.024046369125804858e+02,1.710051932819784213e+02,7.987935019518578201e+02,-2.443253120385470822e+00,7.179999999999999716e+00
7.000000000000000666e-01,6.037778627872904735e+02,1.705106690138732972e+02,7.986161161531653079e+02,-2.575149787663394640e+00,7.209999999999999964e+00
8.000000000000000444e-01,6.051402306669323252e+02,1.700174738360865376e+02,7.984485234265979443e+02,-2.732827844706753773e+00,7.240000000000000213e+00
9.000000000000000222e-01,6.064902021559066725e+02,1.695257997022291363e+02,7.982920934331008311e+02,-2.921179648033974452e+00,7.269999999999999574e+00
1.000000000000000000e+00,6.078260213447628075e+02,1.690360256569372552e+02,7.981482295492850199e+02,-3.145876519867661258e+00,7.299999999999999822e+00
1.100000000000000089e+00,6.091457112636923057e+02,1.685488061352730256e+02,7.980182845550739330e+02,-3.413382102563291109e+00,7.330000000000000071e+00
1.200000000000000178e+00,6.104470862331997978e+02,1.680651804985356819e+02,7.979034391802748587e+02,-3.730877738348429062e+00,7.360000000000000320e+00
1.300000000000000044e+00,6.117277880921475344e+02,1.675866925897116460e+02,7.978045467069186998e+02,-4.106041818712314218e+00,7.389999999999999680e+00
1.400000000000000133e+00,6.129853558754645064e+02,1.671154943263649102e+02,7.977219599805267762e+02,-4.546608924161243515e+00,7.419999999999999929e+00
1.500000000000000000e+00,6.142173369053572287e+02,1.666543875908353129e+02,7.976553785303327686e+02,-5.059645143571339432e+00,7.450000000000000178e+00
1.600000000000000089e+00,6.154214418669906763e+02,1.662067479029454375e+02,7.976037696565531405e+02,-5.650529914993285274e+00,7.480000000000000426e+00
1.700000000000000178e+00,6.165957342487855612e+02,1.657762857699433141e+02,7.975654171276767102e+02,-6.321763045330743402e+00,7.509999999999999787e+00
1.800000000000000044e+00,6.177388274961477919e+02,1.653666544338840083e+02,7.975381153749522127e+02,-7.071889600803055842e+00,7.540000000000000036e+00
1.900000000000000133e+00,6.188500476963770325e+02,1.649809876453679465e+02,7.975194677614003922e+02,-7.894959975466316671e+00,7.570000000000000284e+00
2.000000000000000000e+00,6.199295171304831911e+02,1.646215052430958110e+02,7.975071959253367595e+02,-8.780862672106742650e+00,7.599999999999999645e+00
2.100000000000000089e+00,6.209781323296730307e+02,1.642893074248532059e+02,7.974993658643428489e+02,-9.716540032849048103e+00,7.629999999999999893e+00
2.200000000000000178e+00,6.219974434958789971e+02,1.639843959515675635e+02,7.974944858687962324e+02,-1.068770336142863719e+01,7.660000000000000142e+00
2.300000000000000266e+00,6.229894718729393617e+02,1.637058698659718345e+02,7.974914923007357856e+02,-1.168048882228177021e+01,7.690000000000000391e+00
2.400000000000000355e+00,6.239565124892437780e+02,1.634521995235054419e+02,7.974896720768273326e+02,-1.268263204891580287e+01,7.719999999999999751e+00
2.500000000000000000e+00,6.249009598275035842e+02,1.632214947741645972e+02,7.974885684494638554e+02,-1.368403932364859088e+01,7.750000000000000000e+00
2.600000000000000089e+00,6.258251757889369173e+02,1.630117199132301380e+02,7.974878980328643365e+02,-1.467686296560773052e+01,7.780000000000000249e+00
2.700000000000000178e+00,6.267314023938906757e+02,1.628208434046103719e+02,7.974874885384776917e+02,-1.565527865820801878e+01,7.810000000000000497e+00
2.800000000000000266e+00,6.276217123442221464e+02,1.626469300061634158e+02,7.974872363818325312e+02,-1.661513736870386637e+01,7.839999999999999858e+00
2.900000000000000355e+00,6.284979875127176001e+02,1.624881897546310370e+02,7.974870795723318224e+02,-1.755360327923065000e+01,7.870000000000000107e+00
3.000000000000000000e+00,6.293619157567641196e+02,1.623429982795982198e+02,7.974869809727947541e+02,-1.846883332449591464e+01,7.900000000000000355e+00
3.100000000000000089e+00,6.302149987995009042e+02,1.622098993738590593e+02,7.974869182293884933e+02,-1.935971732569605663e+01,7.929999999999999716e+00
3.200000000000000178e+00,6.310585660348232295e+02,1.620875975154531830e+02,7.974868778038558048e+02,-2.022567673401729849e+01,7.959999999999999964e+00
3.300000000000000266e+00,6.318937908092503903e+02,1.619749454617663389e+02,7.974868514260068650e+02,-2.106651420204337199e+01,7.990000000000000213e+00
3.400000000000000355e+00,6.327217072155738151e+02,1.618709298505060019e+02,7.974868339943863020e+02,-2.188230286448338902e+01,8.019999999999999574e+00
3.500000000000000000e+00,6.335432262440713203e+02,1.617746565494740310e+02,7.974868223372525335e+02,-2.267330601682119706e+01,8.050000000000000711e+00
3.600000000000000089e+00,6.343591506976117671e+02,1.616853367420213488e+02,7.974868144435139357e+02,-2.343991839759322104e+01,8.080000000000000071e+00
3.700000000000000178e+00,6.351701886705168363e+02,1.616022740805948104e+02,7.974868090327385062e+02,-2.418262473445645711e+01,8.109999999999999432e+00
3.800000000000000266e+00,6.359769654955343867e+02,1.615248531929229614e+02,7.974868052792259050e+02,-2.490196954355412018e+01,8.140000000000000568e+00
3.900000000000000355e+00,6.367800342414450370e+02,1.614525295061548888e+02,7.974868026450295702e+02,-2.559853551401316096e+01,8.169999999999999929e+00
4.000000000000000000e+00,6.375798848788350597e+02,1.613848203203476714e+02,7.974868007758507247e+02,-2.627292790120923982e+01,8.199999999999999289e+00
4.100000000000000533e+00,6.383769522519957036e+02,1.613212970208100501e+02,7.974867994348766160e+02,-2.692576325591403119e+01,8.230000000000000426e+00
4.200000000000000178e+00,6.391716229935973388e+02,1.612615783067772952e+02,7.974867984625826693e+02,-2.755766140362509375e+01,8.259999999999999787e+00
4.299999999999999822e+00,6.399642415157665027e+02,1.612053243170934138e+02,7.974867977502726717e+02,-2.816923964937550551e+01,8.289999999999999147e+00
4.400000000000000355e+00,6.407551152003514972e+02,1.611522315359634376e+02,7.974867972231708109e+02,-2.876110865005265893e+01,8.320000000000000284e+00
4.500000000000000000e+00,6.415445188967698869e+02,1.611020283756834885e+02,7.974867968293102649e+02,-2.933386948559354934e+01,8.349999999999999645e+00
4.600000000000000533e+00,6.423326988341937067e+02,1.610544713331876778e+02,7.974867965320144094e+02,-2.988811157628533977e+01,8.380000000000000782e+00
4.700000000000000178e+00,6.431198759753107197e+02,1.610093416938600512e+02,7.974867963056590270e+02,-3.042441138410579526e+01,8.410000000000000142e+00
4.800000000000000711e+00,6.439062489971240666e+02,1.609664426026126023e+02,7.974867961318013840e+02,-3.094333137907068831e+01,8.439999999999999503e+00
4.900000000000000355e+00,6.446919968238170213e+02,1.609255965745602737e+02,7.974867959972148128e+02,-3.144541952342562041e+01,8.470000000000000639e+00
5.000000000000000000e+00,6.454772809042632389e+02,1.608866432569768676e+02,7.974867958920742694e+02,-3.193120887789061868e+01,8.500000000000000000e+00
5.100000000000000533e+00,6.462622471295464948e+02,1.608494375450069640e+02,7.974867958092977460e+02,-3.240121755580911866e+01,8.529999999999999361e+00
5.200000000000000178e+00,6.470470275491094299e+02,1.608138478958582880e+02,7.974867957436379129e+02,-3.285594870705355675e+01,8.560000000000000497e+00
5.300000000000000711e+00,6.478317418900688835e+02,1.607797548364151794e+02,7.974867956911367628e+02,-3.329589061502356628e+01,8.589999999999999858e+00
5.400000000000000355e+00,6.486164988495555690e+02,1.607470496941776332e+02,7.974867956488593563e+02,-3.372151692293569880e+01,8.620000000000000995e+00
5.500000000000000000e+00,6.494013972631363458e+02,1.607156334501425192e+02,7.974867956145765220e+02,-3.413328686584415550e+01,8.650000000000000355e+00
5.600000000000000533e+00,6.501865271340228674e+02,1.606854157285688132e+02,7.974867955865790918e+02,-3.453164555449313156e+01,8.679999999999999716e+00
5.700000000000000178e+00,6.509719705477316438e+02,1.606563138993938651e+02,7.974867955635288581e+02,-3.491702428349666576e+01,8.710000000000000853e+00
5.800000000000000711e+00,6.517578024283109244e+02,1.606282523365017312e+02,7.974867955444136669e+02,-3.528984089406705493e+01,8.740000000000000213e+00
5.900000000000000355e+00,6.525440911886593085e+02,1.606011617801707700e+02,7.974867955285527614e+02,-3.565050015988433785e+01,8.769999999999999574e+00
6.000000000000000000e+00,6.533308995893522706e+02,1.605749784942218810e+02,7.974867955152419654e+02,-3.599939397836106281e+01,8.800000000000000711e+00
6.100000000000000533e+00,6.541182850081941069e+02,1.605496440030138672e+02,7.974867955040469951e+02,-3.633690191083942267e+01,8.830000000000000071e+00
6.200000000000000178e+00,6.549063001591473494e+02,1.605251043858827131e+02,7.974867954945675592e+02,-3.666339141376953847e+01,8.859999999999999432e+00
6.300000000000000711e+00,6.556949934263740261e+02,1.605013099504790262e+02,7.974867954864898820e+02,-3.697921824111392652e+01,8.890000000000000568e+00
6.400000000000000355e+00,6.564844092536218341e+02,1.604782148515462836e+02,7.974867954795863625e+02,-3.728472680026121822e+01,8.919999999999999929e+00
6.500000000000000000e+00,6.572745885957722294e+02,1.604557766483815726e+02,7.974867954736400861e+02,-3.758025045117056351e+01,8.949999999999999289e+00
6.600000000000000533e+00,6.580655690971054810e+02,1.604339561311193734e+02,7.974867954685038285e+02,-3.786611189393491372e+01,8.980000000000000426e+00
