year,time_since_2000,C_atm_PgC,C_active_PgC,C_deep_PgC,T_surface_C,CO2_ppm
2000.0,0.0,594.0,174.0,800.0,-5.0,280.188679245283
2000.1,0.1,595.4236169392042,173.5289220526482,799.9467073934883,-5.585084081814747,280.86019666943594
2000.2,0.2,596.8140669629017,173.0759878203414,799.9069756125688,-6.250727279598087,281.5160693221234
2000.3,0.30000000000000004,598.1698443224068,172.6449703329871,799.8786073767866,-6.99587969575345,282.1555869445315
2000.4,0.4,599.4901824190007,172.23913060476448,799.8591805595723,-7.814957922955003,282.7783879334909
2000.5,0.5,600.7751449587262,171.86080259003927,799.8463704889867,-8.69813073680274,283.38450233902176
2000.6,0.6000000000000001,602.0256155500572,171.51116545501816,799.838186428006,-9.632454939848468,283.97434695757414
2000.7,0.7000000000000001,603.2431777567269,171.1902507729318,799.8330827842668,-10.603596714885299,284.54866875317305
2000.8,0.8,604.429927586757,170.89713553842412,799.829952392097,-11.59752002046859,285.10845640884764
2000.9,0.9,605.588264571518,170.63022608512517,799.8280506951999,-12.60173033701171,285.65484177901794
2001.0,1.0,606.7207028639584,170.3875433094068,799.8268990058502,-13.605909535073376,286.189010784886
2001.1,1.1,607.8297327020503,170.1669451856359,799.8262004599452,-14.601996664161977,286.71213806700484
2001.2,1.2000000000000002,608.917723371354,169.9662894403578,799.8257745247411,-15.5839944944208,287.22534121290283
2001.3,1.3,609.9868697830285,169.7835309867421,799.82551329083,-16.54762106757345,287.7296555580323
2001.4,1.4000000000000001,611.0391645791213,169.61678050551527,799.825351155061,-17.489944071760128,288.22602102788744
2001.5,1.5,612.0763978517386,169.46432055278038,799.8252494166559,-18.409049462949383,288.71528200553706
2001.6,1.6,613.1001632044901,169.32461135396304,799.8251848141854,-19.303778127511286,289.19819019079716
2001.7,1.7000000000000002,614.1118720213717,169.19628316651477,799.8251432746323,-20.173518204868817,289.6754113308357
2001.8,1.8,615.1127705685374,169.07812321816616,799.8251162210341,-21.018050129498896,290.1475332870459
2001.9,1.9000000000000001,616.103957692789,168.9690605186833,799.8250983744098,-21.837432712578313,290.615074383391
2002.0,2.0,617.086401821967,168.86815038956607,799.825086499235,-22.631922162395604,291.0784914254561
2002.1,2.1,618.0609569574281,168.77455965230007,799.8250784745518,-23.401906397247114,291.53818724406983
2002.2,2.2,619.028376666615,168.68755315487715,799.8250729806983,-24.14786838522619,291.99451729557313
2002.3,2.3000000000000003,619.9893271517466,168.60648122812216,799.8250691689449,-24.870351801101744,292.44779582629553
2002.4,2.4000000000000004,620.9443979894897,168.5307692697153,799.8250664965312,-25.569940666462166,292.8983009384385
2002.5,2.5,621.8941118969879,168.45990824379376,799.8250646043937,-26.247242447824753,293.34627919669236
2002.6,2.6,622.838933458701,168.3934461529512,799.825063247277,-26.902875730063535,293.79194974467026
2002.7,2.7,623.7792762535528,168.33098104771855,799.8250622635259,-27.53746309561486,294.23550766677016
2002.8,2.8000000000000003,624.7155090779743,168.27215492765117,799.8250615444301,-28.15162511053512,294.67712692357276
2002.9,2.9000000000000004,625.6479609946397,168.21664878281348,799.8250610220083,-28.74597692561037,295.1169627333206
2003.0,3.0,626.5769277859965,168.16417626745454,799.8250606388185,-29.32112196377952,295.5551546160361
2003.1,3.1,627.5026758850914,168.11447983602477,799.8250603418277,-29.877650149773036,295.9918282476846
2003.2,3.2,628.4254422691131,168.06733081552795,799.8250601205391,-30.41614396792717,296.427095409959
2003.3,3.3000000000000003,629.3454433772246,168.0225206798118,799.8250599474661,-30.93716704242212,296.86105819680404
2003.4,3.4000000000000004,630.2628722585237,167.97986383303976,799.8250598144849,-31.441271736317976,297.2938076691149
2003.5,3.5,631.177905258146,167.93919104538728,799.8250597102736,-31.928993604897794,297.7254270085594
2003.6,3.6,632.0907014633037,167.90034999611376,799.8250596279103,-32.40085381352014,298.15599125627534
2003.7,3.7,633.0014054332636,167.8632025903444,799.8250595629132,-32.85735856062095,298.585568600596
2003.8,3.8000000000000003,633.9101493055549,167.82762289079798,799.8250595105027,-33.298998585826894,299.01422137054476
2003.9,3.9000000000000004,634.8170526270113,167.79349728552808,799.8250594685878,-33.72625057583766,299.4420059561374
