year,time_since_2000,C_atm_PgC,C_active_PgC,C_deep_PgC,T_surface_C,CO2_ppm
2209.6,209.60000000000002,6647.655087405916,2.426662078790813,99.26658085095306,22.32967812985534,3135.6863619839223
2209.8,209.8,6665.42603109765,2.4202581210487497,99.06824884899994,22.336221893518363,3144.0688825932307
2210.0,210.0,6683.251302824392,2.4138704169254535,98.87031162114215,22.342768166079686,3152.477029634147
2210.2,210.20000000000002,6701.131017062934,2.407498980664044,98.67276865137038,22.34931696103693,3160.9108571051574
2210.4,210.4,6719.065173813269,2.4011438122645243,98.47561993968472,22.355868278390094,3169.370365006259
2210.6,210.60000000000002,6737.053773075405,2.3948049117268924,98.27886548608508,22.362422118139182,3177.855553337455
2210.8,210.8,6755.096814849333,2.3884822790511495,98.08250529057155,22.368978480284184,3186.3664220987416
2211.0,211.0,6773.194482659577,2.3821758639546933,97.88653847709698,22.37553735419998,3194.903057858291
2211.2,211.20000000000002,6791.347461423329,2.3758854787818424,97.6909617762359,22.38209870023336,3203.4657836902493
2211.4,211.4,6809.5558160285045,2.3696111057544096,97.49577487824843,22.38866251462765,3212.054630202125
2211.6,211.60000000000002,6827.819546475111,2.3633527448723926,97.3009777831345,22.395228797382853,3220.66959739392
2211.8,211.8,6846.138652763141,2.3571103961357935,97.10657049089417,22.40179754849896,3229.3106852656324
2212.0,212.0,6864.5131348926,2.3508840595446117,96.91255300152743,22.408368767975976,3237.977893817264
2212.2,212.20000000000002,6882.940453995176,2.344674386588928,96.71893709529414,22.414942594580076,3246.6700254694224
2212.4,212.4,6901.428566487451,2.338479335600624,96.5256858547005,22.421518593439753,3255.390833248797
2212.6,212.60000000000002,6919.972379641224,2.3323002134067994,96.33282290982667,22.428097042906746,3264.137914925105
2212.8,212.8,6938.572060514582,2.3261369771392655,96.14034748552905,22.434677933850207,3272.9113492993306
2213.0,213.0,6957.227776165621,2.319989583929831,95.9482588066639,22.441261257139296,3281.7112151724627
2213.2,213.20000000000002,6975.939702376708,2.313857989349767,95.75655606050944,22.447847003185217,3290.537595460711
2213.4,213.4,6994.708200752655,2.3077421157317355,95.56523763395087,22.454435152645143,3299.3906607323843
2213.6,213.60000000000002,7013.533568895215,2.301641896856813,95.37430218955375,22.461025689535838,3308.270551365667
2213.8,213.8,7032.416040996126,2.2955572778484146,95.18374866300961,22.467618601202535,3317.177377828361
