year,time_since_2000,C_atm_PgC,C_active_PgC,C_deep_PgC,T_surface_C,CO2_ppm
2000.0,0.0,594.0,174.0,800.0,-5.0,280.188679245283
2000.1,0.1,595.4550109732223,173.51434369127654,799.9284450662265,-4.304345173257099,280.87500517604826
2000.2,0.2,596.9415335279031,173.01823795704922,799.8313875411268,-3.6310370321331407,281.5761950603316
2000.3,0.30000000000000004,598.4604930320933,172.51712467923412,799.7023947142337,-2.9793290137855992,282.2926853924968
2000.4,0.4,600.0127427829993,172.0165682569136,799.5349837403891,-2.348524870366,283.0248786712261
2000.5,0.5,601.59910931062,171.52186295248111,799.3229664107116,-1.7379429876625156,283.77316476916036
2000.6,0.6000000000000001,603.2203818267901,171.03730244017814,799.0611908100806,-1.146924340755321,284.53791595603303
2000.7,0.7000000000000001,604.877309696912,170.56559162261652,798.7461320878945,-0.5748313928369871,285.3194857060906
2000.8,0.8,606.5705958523102,170.10740016778448,798.376345601434,-0.02104729661776439,286.11820559071236
2000.9,0.9,608.3008880240351,169.66130589588516,797.9525324416791,0.5150254075041373,286.93438114341274
2001.0,1.0,610.0687658865934,169.22400335451397,797.477343782123,1.0339646309755337,287.7682857955629
2001.1,1.1,611.8747284878484,168.79082963043388,796.9548678143072,1.5363296421015185,288.6201549470983
2001.2,1.2000000000000002,613.7191853479817,168.3562536971492,796.3901494458761,2.022661554618092,289.4901817679159
2001.3,1.3,615.6024459941199,167.9144975289554,795.7885798674652,2.493483994035063,290.3785122613773
2001.4,1.4000000000000001,617.524714413697,167.45989683948503,795.1555415235204,2.949303554853277,291.2852426479703
2001.5,1.5,619.4860839931533,166.98734829639372,794.4959662420355,3.3906104942284188,292.2104169779025
2001.6,1.6,621.48653814411,166.49232520910067,793.8143191063423,3.8178791336396505,293.15402742646694
2001.7,1.7000000000000002,623.5259495122001,165.97099690130662,793.114480062376,4.231568302302862,294.11601392084907
2001.8,1.8,625.6040819196344,165.42023566001274,792.3997353283178,4.632122010670773,295.0962650564313
2001.9,1.9000000000000001,627.7205944722639,164.8375174510269,791.6728728221516,5.019969986736115,296.09462003408674
2002.0,2.0,629.8750396112008,164.22096215357743,790.9361437257787,5.395527351541959,297.11086774113244
2002.1,2.1,632.0668746736957,163.56913057409014,790.1914546190895,5.759196173698507,298.1447522045734
2002.2,2.2,634.2954597358864,162.8810640138852,789.4403299478688,6.111365202638107,299.1959715735313
2002.3,2.3000000000000003,636.5600659680368,162.15616708870743,788.6840211268837,6.4524104874663415,300.2641820603947
